epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
43,0.9938081502914429,0.6626192927360535,0.6398473381996155,0.6593160629272461,0.3527882993221283,0.018855277448892593,0.001,0.5832048058509827,0.9953287243843079,0.9926585555076599,0.9984484314918518,0.9929664134979248,0.6472827792167664,0.6142660975456238,0.5996933579444885,0.37689435482025146,0.022256428375840187,0.6244912147521973,0.9948097467422485,0.9915244579315186,0.998276948928833
44,0.9936904907226562,0.6590429544448853,0.6323147416114807,0.6541501879692078,0.35124072432518005,0.01947711780667305,0.001,0.588280439376831,0.9952298998832703,0.9925073981285095,0.9984158277511597,0.9927921295166016,0.6345708966255188,0.6322844624519348,0.5456807017326355,0.36213213205337524,0.02308797277510166,0.5850046873092651,0.9942774176597595,0.9916856288909912,0.9980986714363098
45,0.9937041401863098,0.6571635007858276,0.6306994557380676,0.6522654294967651,0.34720903635025024,0.019295908510684967,0.001,0.6121444702148438,0.995288074016571,0.9925034642219543,0.9984350800514221,0.9933081865310669,0.671846330165863,0.6404951214790344,0.680504322052002,0.36814790964126587,0.02189069427549839,0.684354841709137,0.9949200749397278,0.9920513033866882,0.9983134865760803
46,0.9937106370925903,0.6605921983718872,0.6384589076042175,0.6554652452468872,0.3499522805213928,0.019175566732883453,0.001,0.6633328199386597,0.9952937364578247,0.992507815361023,0.998437762260437,0.9921756386756897,0.6193493008613586,0.49805688858032227,0.6455129384994507,0.33614400029182434,0.02843506820499897,0.8270477056503296,0.993891179561615,0.9908531308174133,0.9979714751243591
47,0.9939620494842529,0.6687279343605042,0.6481902599334717,0.6644418239593506,0.36369797587394714,0.018343904986977577,0.001,0.6533026695251465,0.9954643845558167,0.992816150188446,0.9984935522079468,0.9928573966026306,0.6224518418312073,0.607902467250824,0.5588887333869934,0.3250126838684082,0.024579590186476707,0.6353797912597656,0.9940668940544128,0.9920146465301514,0.9980272054672241
48,0.9939133524894714,0.6700366139411926,0.6508834958076477,0.6661806106567383,0.36451947689056396,0.01841721311211586,0.001,0.6577920913696289,0.9954796433448792,0.9927181601524353,0.9984987378120422,0.9923774600028992,0.6270433664321899,0.5811689496040344,0.6267592906951904,0.30235034227371216,0.025325410068035126,0.7133780717849731,0.9944924712181091,0.9906427264213562,0.9981744289398193
49,0.9939414858818054,0.6666218042373657,0.6428835988044739,0.6619369983673096,0.36312511563301086,0.01860629767179489,0.001,0.6728407740592957,0.9954186081886292,0.9928160309791565,0.9984776377677917,0.9920803904533386,0.6100890040397644,0.5164165496826172,0.5989909768104553,0.32733410596847534,0.02674819529056549,0.6745456457138062,0.9934998750686646,0.9910396933555603,0.9978399276733398
50,0.9941005110740662,0.6757549047470093,0.6546627879142761,0.6750755310058594,0.37464991211891174,0.017823785543441772,0.001,0.6902350187301636,0.9956051707267761,0.992954432964325,0.9985408782958984,0.9933265447616577,0.6678356528282166,0.6397573351860046,0.6723018288612366,0.3610546886920929,0.021913424134254456,0.7053564786911011,0.9947471618652344,0.9922391772270203,0.9982552528381348
51,0.9940821528434753,0.6772237420082092,0.6576895117759705,0.6778079867362976,0.37478703260421753,0.017834089696407318,0.001,0.6435781121253967,0.9955805540084839,0.9929360151290894,0.9985314011573792,0.9934855103492737,0.6598199605941772,0.614943265914917,0.6756072640419006,0.3504868447780609,0.0227204579859972,0.7082183361053467,0.994789719581604,0.9924982786178589,0.9982684850692749
52,0.9937218427658081,0.6638681292533875,0.6337855458259583,0.6575939655303955,0.3656660318374634,0.01931668631732464,0.001,0.5884594917297363,0.9952697157859802,0.9925281405448914,0.9984295964241028,0.9932701587677002,0.6672094464302063,0.6305071115493774,0.6662354469299316,0.3738912045955658,0.02163470722734928,0.6121671199798584,0.9950782656669617,0.9918290376663208,0.9983668327331543
